N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,TYPE REGISTRANT,NAME,STREET,STREET2,CITY,STATE,ZIP CODE,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,OTHER NAMES(1),OTHER NAMES(2),OTHER NAMES(3),OTHER NAMES(4),OTHER NAMES(5),EXPIRATION DATE,UNIQUE ID,KIT MFR, KIT MODEL,MODE S CODE HEX,
1001B,1205                          ,5261402,52008,1936,3,AIR ASSETS INTERNATIONAL                          ,653 WILDROSE WAY                 ,                                 ,LOUISVILLE        ,CO,800271078 ,S,013,US,20200306,20170719,1         ,5,1 ,V ,50003461, ,19560118,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230731,00430110,                              ,                    ,A00731    ,
1001C,4295                          ,1250013,17027,1966,1,THOMAS ALEXANDRA F                                ,PO BOX 992                       ,                                 ,BROOKINGS         ,OR,974150023 ,S,015,US,20171010,20171010,1N        ,4,1 ,26,50003462, ,19660505,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20201031,00420110,                              ,                    ,A00732    ,
1001D,7609                          ,2073110,35003,1950,7,JMP & ASSOCIATES LLC                              ,9223 SPRINGBROOKE CIR            ,                                 ,LOUISVILLE        ,KY,402413003 ,3,111,US,20180211,20071022,1         ,4,1 ,V ,50003463, ,19551203,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210731,00410110,                              ,                    ,A00733    ,
1001E,7AC-4551                      ,2110102,17003,1946,1,RICHARDSON GORDON J                               ,372 LAKE RD                      ,                                 ,SANDY LAKE        ,PA,161454412 ,1,085,US,20181127,20130117,1         ,4,1 ,V ,50003464, ,19600725,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220131,00400110,                              ,                    ,A00734    ,
1001F,79033                         ,8930105,42200,1979,3,AG AIR INC                                        ,1621 CENTRAL AVE                 ,                                 ,CHEYENNE          ,WY,820014531 ,S,021,US,20190911,20190911,31        ,6,1 ,V ,50003465, ,20060321,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220930,00230210,                              ,                    ,A00735    ,
1001J,24-3095                       ,5870219,41511,    ,4,BOWMAR BRUCE C                                    ,3621 AVONDALE LN                 ,                                 ,OXNARD            ,CA,930366342 ,4,111,US,20200123,20170316,1N        ,4,1 ,V ,50003470, ,19890425,BOWMAR TERESA L                                   ,                                                  ,                                                  ,                                                  ,                                                  ,20230331,00964581,                              ,                    ,A00738    ,
1001K,F-16-07-01                    ,060005B,55593,2017,7,HORUS LLC                                         ,PO BOX 8003                      ,                                 ,OMAHA             ,NE,681080003 ,3,055,US,20180523,20180523,9A        ,4,8 ,V ,50003471, ,20170829,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210531,01260290,                              ,                    ,A00739    ,
1001L,1001                          ,9830224,63601,1996,1,HODGE JAY                                         ,5513 AVIATOR AVE                 ,                                 ,GOSHEN            ,OH,451228530 ,C,025,US,20180928,20151229,43        ,4,1 ,V ,50003472, ,20110707,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20211231,00725921,                              ,                    ,A0073A    ,
1001M,17259401                      ,2072432,41508,1970,3,ROCKY MOUNTAIN VENTURES INC                       ,1712 PIONEER AVE #2076           ,                                 ,CHEYENNE          ,WY,82001     ,S,021,US,20181126,20181126,1N        ,4,1 ,V ,50003473, ,19700910,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20211130,00770110,                              ,                    ,A0073B    ,
1001P,T34-495                       ,8380307,52251,2019,7,SCIARA & WHITTINGTON AIR & GROUND LLC             ,606 BOBBY HARPER RD              ,                                 ,EUDORA            ,AR,716408002 ,2,017,US,20200916,20200916,310       ,4,2 ,V ,50003475, ,20190918,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230930,01300264,                              ,                    ,A0073D    ,
1001Q,310H0001                      ,2074220,17027,1962,1,REGISTRATION PENDING                              ,1203 JUDY LN                     ,                                 ,BAYTOWN           ,TX,775213448 ,2,201,US,20200801,        ,1         ,5,1 ,R ,50003476, ,19621206,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,        ,00750110,                              ,                    ,A0073E    ,
1001S,1                             ,056313G,     ,    ,1,TAYLOR DOUGLAS W                                  ,PO BOX 771                       ,                                 ,AKRON             ,IA,510010771 ,3,149,US,20180615,20120717,          ,1,0 ,V ,50003500, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210731,01101318,                              ,                    ,A00740    ,
1001V,R1722074                      ,2072431,17025,1976,3,DONALD'S FLYING SERVICE INC                       ,5230 N C HWY 99 SOUTH            ,                                 ,PANTEGO           ,NC,27860     ,1,013,US,20200323,19900507,1N        ,4,1 ,V ,50003503, ,19761109,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230531,00720110,                              ,                    ,A00743    ,
1001W,60208                         ,05620P0,41594,2006,3,RIGHT DOWNWIND INC                                ,10519 COUNTY ROAD 7500           ,                                 ,ROPESVILLE        ,TX,793581526 ,2,219,US,20180918,20180918,42        ,4,1 ,V ,50003504, ,20061007,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210930,00210319,VANS AIRCRAFT INC             ,RV-6                ,A00744    ,
1001X,LIV-459                       ,05626CO,17043,2012,3,B RYAN ENTERPRISES INC                            ,308 CHESTNUT ST                  ,                                 ,LYNNFIELD         ,MA,019402411 ,E,009,US,20190726,20080318,42        ,4,1 ,V ,50003505, ,20120801,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20221231,01003171,LANCAIR INTL INC              ,LANCAIR IV P        ,A00745    ,
1001Y,87-039                        ,8930107,     ,    ,7,HHI FARMS LLC                                     ,PO BOX 264                       ,                                 ,HAMILTON          ,MI,494190264 ,C,005,US,20200627,20111121,          ,6,1 ,V ,50003506, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20231130,00084991,                              ,                    ,A00746    ,
10020,20044C                        ,5460186,41514,1995,1,FINK MICHAEL E                                    ,PO BOX 78                        ,                                 ,PAULDEN           ,AZ,863340078 ,4,025,US,20190603,20190603,1N        ,4,1 ,V ,50003553, ,19950630,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220630,00695562,                              ,                    ,A0076B    ,
10021,30-0064                       ,5870226,17042,2002,1,SCELZI GEORGE                                     ,693 BRUSH FOOT DR                ,                                 ,SEBASTIAN         ,FL,329583942 ,7,061,US,20190815,20070411,1N        ,4,1 ,V ,50003554, ,20021009,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230131,00013769,                              ,                    ,A0076C    ,
10025,165                           ,8141104,52008,1957,3,TRADE AYER INC                                    ,LINDEN AIRPORT                   ,                                 ,LINDEN            ,NJ,07036     ,1,039,US,19770114,        ,1         ,6,1 ,9 ,50003560, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,        ,00000338,                              ,                    ,A00770    ,
10026,01020939                      ,05614K1,99999,2002,1,JACKSON ARTHUR P                                  ,4230 POVERTY HILL LN             ,                                 ,CATAWBA           ,SC,297048736 ,7,091,US,20190216,20070119,42        ,4,1 ,V ,50003561, ,20020822,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220731,00294094,RANS INC                      ,S-12 XL AIRAILE     ,A00771    ,
10027,1295910ES                     ,05603D0,55555,1996,1,BRADDOCK GAY LYNN                                 ,13412 DANVILLE RD                ,                                 ,DANVILLE          ,IA,526239727 ,3,057,US,20200206,20070503,42        ,4,1 ,V ,50003562, ,19961122,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230430,00326001,                              ,                    ,A00772    ,
1002C,1001                          ,059006Q,99999,2005,1,MCCURRY DANNY D                                   ,2548 CURT LEDFORD RD             ,                                 ,LAWNDALE          ,NC,280909283 ,1,045,US,20181210,20160317,42        ,4,1 ,V ,50003525, ,20060909,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220331,00205059,                              ,                    ,A00755    ,
1002E,7AC-4552                      ,2110102,17008,1946,1,MCCURDY JAMES R                                   ,25 DEER HILL LN                  ,                                 ,HAMPDEN           ,ME,044443400 ,E,019,US,20180312,20150827,1N        ,4,1 ,V ,50003527, ,19760213,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210831,00610110,                              ,                    ,A00757    ,
1002G,27-0295                       ,5870222,41533,2000,7,FLYING FOX AVIATION LLC                           ,133 STILLWATER DR                ,                                 ,IDAHO FALLS       ,ID,834048296 ,S,019,US,20191220,20170522,1N        ,4,1 ,V ,50003531, ,20000602,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230531,00715860,                              ,                    ,A00759    ,
1002H,23038C                        ,5460109,41532,1997,1,SMITH MICHAEL S                                   ,205 E DIMOND BLVD UNIT 290       ,                                 ,ANCHORAGE         ,AK,995151909 ,5,020,US,20200812,20171205,1N        ,4,1 ,V ,50003532, ,19970210,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20231231,00886431,                              ,                    ,A0075A    ,
1002M,17259402                      ,2072432,41508,1970,1,SCHULER MARK E                                    ,4 MARCH CT                       ,                                 ,COLUMBIA          ,IL,622361500 ,C,133,US,20200120,20170512,1N        ,4,1 ,V ,50003536, ,19700911,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230531,00570110,                              ,                    ,A0075E    ,
1002N,21005C                        ,5460187,41514,    ,1,MOBLEY JOHN E                                     ,677 HALEY LN                     ,                                 ,NEWARK            ,AR,725629475 ,2,063,US,20180321,20180321,1N        ,4,1 ,V ,50003537, ,19960102,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210331,00225991,                              ,                    ,A0075F    ,
1002Q,310H0002                      ,2074220,17027,1962,4,SWANSON DALE A                                    ,12010 MONTAGUE DR                ,                                 ,LAUREL            ,MD,207082822 ,1,033,US,20190905,20190905,1         ,5,1 ,V ,50003541, ,19621206,SWANSON DEBRA B                                   ,                                                  ,                                                  ,                                                  ,                                                  ,20220930,00940110,                              ,                    ,A00761    ,
1002S,20056C                        ,5460186,41514,1995,1,KUCEL R SCOTT                                     ,PO BOX 612245                    ,                                 ,DALLAS            ,TX,752612245 ,2,113,US,20190601,19960307,1N        ,4,1 ,V ,50003543, ,19951221,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20221031,00605811,                              ,                    ,A00763    ,
1002U,15072624                      ,2071826,17020,1971,1,CSAPOS LARRY G                                    ,719 W FRONT ST                   ,                                 ,OVID              ,MI,488669617 ,C,037,US,20200210,20060505,1U        ,4,1 ,V ,50003545, ,19710630,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230630,00900110,                              ,                    ,A00765    ,
1002Z,984                           ,3801551,00000,1961,1,ARNOLD SARAH D                                    ,PO BOX 53                        ,                                 ,BENTON            ,TN,373070053 ,3,139,US,20180118,20150625,1         ,1,0 ,V ,50003552, ,19610529,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210630,00880110,                              ,                    ,A0076A    ,
10031,29-0240                       ,5870225,17042,2000,4,TAYLOR DOUGLAS SCOTT                              ,4203 ROCKVILLE HEIGHTS           ,                                 ,FAIRFIELD         ,CA,94534     ,4,095,US,20200513,20141021,1N        ,4,1 ,V ,50003617, ,20000725,WU NAN                                            ,                                                  ,                                                  ,                                                  ,                                                  ,20231031,00775950,                              ,                    ,A0078F    ,
10032,15074754                      ,2071826,17020,1973,1,QUINLAN ROBERT B                                  ,343 MOUNTAIN RD                  ,                                 ,LEBANON           ,NJ,088335030 ,1,019,US,20180330,20150828,1U        ,4,1 ,V ,50003620, ,19730529,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210831,00040120,                              ,                    ,A00790    ,
10033,172S9797                      ,2072439,41597,2005,3,ADVENTURE AIR                                     ,917 H ST # A                     ,                                 ,BAKERSFIELD       ,CA,933041311 ,4,029,US,20190408,20061212,1NU       ,4,1 ,V ,50003621, ,20050303,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220430,00163979,                              ,                    ,A00791    ,
10034,19045C                        ,5470203,41508,1996,7,BROWN VINTAGE AIRLINES LLC                        ,955 MARION AVE                   ,                                 ,MANSFIELD         ,OH,449063448 ,C,139,US,20200519,20090518,1N        ,4,1 ,V ,50003622, ,19960612,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20231031,00926021,                              ,                    ,A00792    ,
10036,11906                         ,7100510,17003,1944,1,MURRAY THOMAS J                                   ,219 HILLDALE AVE                 ,                                 ,SOUTH HAMPTON     ,NH,038273521 ,E,015,US,20191213,20140314,1N        ,4,1 ,V ,50003624, ,19720911,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230331,00030120,                              ,                    ,A00794    ,
10037,0790-132 B                    ,059006V,55555,1991,1,BRAUGHT ELDIN V                                   ,5151 S 271ST WEST AVE            ,                                 ,SAND SPRINGS      ,OK,740634379 ,2,143,US,20190912,20140219,48A       ,4,1 ,V ,50003625, ,20060201,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230228,00205559,                              ,                    ,A00795    ,
10039,22275                         ,05603DY,41514,1997,1,VANDERPOOL WAYNE R                                ,22130 LAKE JORDAN LANDING        ,                                 ,NORTH DINWIDDIE   ,VA,23803     ,1,730,US,20190202,20190202,42        ,4,1 ,V ,50003627, ,19971105,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220228,00306001,                              ,                    ,A00797    ,
1003A,P21000078                     ,2073454,17040,1978,7,OAKSHIRE AVIATION LLC                             ,212 N NACHES AVE                 ,                                 ,YAKIMA            ,WA,989012438 ,S,077,US,20200608,20200608,1N        ,4,1 ,V ,50003566, ,19780801,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230630,00820320,                              ,                    ,A00776    ,
1003B,H80-231                       ,8380310,30170,2019,1,HUGHES KENNETH PAYNE JR TRUSTEE                   ,889 OAKLAND RD                   ,                                 ,LEESBURG          ,GA,317634297 ,7,177,US,20200131,20200131,310       ,4,2 ,V ,50003567, ,20190814,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230131,01302834,                              ,                    ,A00777    ,
1003D,7611                          ,2073102,35006,1950,3,BARRON AVIATION                                   ,30530 HIGHWAY Y                  ,                                 ,PERRY             ,MO,634622715 ,3,173,US,20200224,20010607,1         ,4,1 ,V ,50003571, ,19551109,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230731,00840110,                              ,                    ,A00779    ,
1003E,7AC-4553                      ,2110102,17003,1946,1,SHACKELFORD LON D                                 ,1907  DELILA DR                  ,                                 ,CHARLOTTESVILLE   ,VA,22901     ,1,540,US,20191213,20110322,1         ,4,1 ,V ,50003572, ,19551006,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230331,00830110,                              ,                    ,A0077A    ,
1003F,24-1161                       ,5870219,41511,1981,1,CHYATTE DOUGLAS                                   ,2058 RIVER POINT CT              ,                                 ,DE PERE           ,WI,541157972 ,C,009,US,20180814,20130117,1N        ,4,1 ,V ,50003573, ,19810709,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220131,00780110,                              ,                    ,A0077B    ,
1003H,15AC-5                        ,0191202,17012,1948,7,LIGHT WINDS AVIATION LLC                          ,3087 OLD KAWKAWLIN RD            ,                                 ,BAY CITY          ,MI,487061521 ,C,017,US,20171010,20150331,1         ,4,1 ,V ,50003575, ,19551003,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210331,00820110,                              ,                    ,A0077D    ,
1003J,10                            ,0144701,17025,1972,1,TOWNSLEY DOYLE                                    ,19263 OLD HIGHWAY 49             ,                                 ,SAUCIER           ,MS,395748406 ,2,047,US,20190710,20161221,1N        ,4,1 ,V ,50003576, ,19721219,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20221231,00810110,                              ,                    ,A0077E    ,
1003K,3730                          ,8190112,17008,1946,4,DARCEY RONNIE L                                   ,20172 BRITTANY CT                ,                                 ,CASTRO VALLEY     ,CA,945464601 ,4,001,US,20200408,20170815,1N        ,4,1 ,V ,50003577, ,19631203,DARCEY CAROLYN F                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230831,00800110,                              ,                    ,A0077F    ,
1003L,29-0272                       ,5870225,17042,2001,1,GILL DAVID P                                      ,1402 SPRING CRESS LN             ,                                 ,SEABROOK          ,TX,775864719 ,2,201,US,20180110,20120625,1N        ,4,1 ,V ,50003600, ,20010306,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210630,00613754,                              ,                    ,A00780    ,
